DATE,UMCSENT
11/1/52,86.2
12/1/52,.
1/1/53,.
2/1/53,90.7
3/1/53,.
4/1/53,.
5/1/53,.
6/1/53,.
7/1/53,.
8/1/53,80.8
9/1/53,.
10/1/53,.
11/1/53,80.7
12/1/53,.
1/1/54,.
2/1/54,82
3/1/54,.
4/1/54,.
5/1/54,82.9
6/1/54,.
7/1/54,.
8/1/54,.
9/1/54,.
10/1/54,.
11/1/54,87
12/1/54,.
1/1/55,.
2/1/55,95.9
3/1/55,.
4/1/55,.
5/1/55,99.1
6/1/55,.
7/1/55,.
8/1/55,.
9/1/55,.
10/1/55,.
11/1/55,99.7
12/1/55,.
1/1/56,.
2/1/56,.
3/1/56,.
4/1/56,.
5/1/56,98.2
6/1/56,.
7/1/56,.
8/1/56,99.9
9/1/56,.
10/1/56,.
11/1/56,100.2
12/1/56,.
1/1/57,.
2/1/57,.
3/1/57,.
4/1/57,.
5/1/57,92.9
6/1/57,.
7/1/57,.
8/1/57,.
9/1/57,.
10/1/57,.
11/1/57,83.7
12/1/57,.
1/1/58,.
2/1/58,78.5
3/1/58,.
4/1/58,.
5/1/58,80.9
6/1/58,.
7/1/58,.
8/1/58,.
9/1/58,.
10/1/58,.
11/1/58,90.8
12/1/58,.
1/1/59,.
2/1/59,.
3/1/59,.
4/1/59,.
5/1/59,95.3
6/1/59,.
7/1/59,.
8/1/59,.
9/1/59,.
10/1/59,.
11/1/59,93.8
12/1/59,.
1/1/60,.
2/1/60,100
3/1/60,.
4/1/60,.
5/1/60,93.3
6/1/60,.
7/1/60,.
8/1/60,97.2
9/1/60,.
10/1/60,.
11/1/60,90.1
12/1/60,.
1/1/61,.
2/1/61,91.6
3/1/61,.
4/1/61,.
5/1/61,92.5
6/1/61,.
7/1/61,.
8/1/61,99.2
9/1/61,.
10/1/61,.
11/1/61,93
12/1/61,.
1/1/62,.
2/1/62,99.9
3/1/62,.
4/1/62,.
5/1/62,95.4
6/1/62,.
7/1/62,.
8/1/62,91.6
9/1/62,.
10/1/62,.
11/1/62,95
12/1/62,.
1/1/63,.
2/1/63,98.4
3/1/63,.
4/1/63,.
5/1/63,91.7
6/1/63,.
7/1/63,.
8/1/63,96.4
9/1/63,.
10/1/63,.
11/1/63,94.4
12/1/63,.
1/1/64,.
2/1/64,99.5
3/1/64,.
4/1/64,.
5/1/64,98.5
6/1/64,.
7/1/64,.
8/1/64,100.6
9/1/64,.
10/1/64,.
11/1/64,99.9
12/1/64,.
1/1/65,.
2/1/65,102
3/1/65,.
4/1/65,.
5/1/65,105.4
6/1/65,.
7/1/65,.
8/1/65,103.4
9/1/65,.
10/1/65,.
11/1/65,102.9
12/1/65,.
1/1/66,.
2/1/66,100
3/1/66,.
4/1/66,.
5/1/66,95.7
6/1/66,.
7/1/66,.
8/1/66,91.2
9/1/66,.
10/1/66,.
11/1/66,88.3
12/1/66,.
1/1/67,.
2/1/67,94.1
3/1/67,.
4/1/67,.
5/1/67,95.9
6/1/67,.
7/1/67,.
8/1/67,97
9/1/67,.
10/1/67,.
11/1/67,92.9
12/1/67,.
1/1/68,.
2/1/68,97.2
3/1/68,.
4/1/68,.
5/1/68,92.4
6/1/68,.
7/1/68,.
8/1/68,92.4
9/1/68,.
10/1/68,.
11/1/68,91.7
12/1/68,.
1/1/69,.
2/1/69,98.2
3/1/69,.
4/1/69,.
5/1/69,91.5
6/1/69,.
7/1/69,.
8/1/69,86.4
9/1/69,.
10/1/69,.
11/1/69,79.7
12/1/69,.
1/1/70,.
2/1/70,78.1
3/1/70,.
4/1/70,.
5/1/70,75.4
6/1/70,.
7/1/70,.
8/1/70,77.6
9/1/70,.
10/1/70,.
11/1/70,72.4
12/1/70,.
1/1/71,.
2/1/71,78.1
3/1/71,.
4/1/71,.
5/1/71,80.2
6/1/71,.
7/1/71,.
8/1/71,82.1
9/1/71,.
10/1/71,.
11/1/71,82
12/1/71,.
1/1/72,.
2/1/72,92.8
3/1/72,.
4/1/72,.
5/1/72,88.6
6/1/72,.
7/1/72,.
8/1/72,95.2
9/1/72,.
10/1/72,.
11/1/72,90.7
12/1/72,.
1/1/73,.
2/1/73,81.9
3/1/73,.
4/1/73,.
5/1/73,77
6/1/73,.
7/1/73,.
8/1/73,72
9/1/73,.
10/1/73,.
11/1/73,76.5
12/1/73,.
1/1/74,.
2/1/74,61.8
3/1/74,.
